Масло,Зона,ПЭ,С,Группа,Сочетания,Единичное масло в Зоне,Ключ
Мандарин,+++,Состояние не брать ответственность за свою жизнь или проживание чужой. Часто у мам (или бабушек) маленьких детей. См. сочетание [1] *ЕД: Склонность к зависимостям.,Сухая кожа. См. сочетание [4].,Цитрусовая,"[1] В сочетании с Анисом, усиление, детская позиция. Мб в +++ или ---. Иногда Анис может попасть в 0. [4] В сочетании с Бергамотом: более сильное проявление.",Склонность к зависимостям.,Мандарин|+++
Мандарин,+,"Возможно в ""поле"" находится маленький ребенок. *ЕД: Склонность к зависимостям.",,Цитрусовая,,Склонность к зависимостям.,Мандарин|+
Мандарин,N,"Прожитые детские процессы. Довольный ""Внутренний ребенок"" *ЕД: Склонность к зависимостям.",Норма,Цитрусовая,,Склонность к зависимостям.,Мандарин|N
Мандарин,-,"Подавлен ""Внутренний ребенок"". Депрессия. Встречается у мам (иногда пап) новорожденных  ЕД: Депрессия","Застойные процессы в кишечнике. У женщин, дополнительно, - проблемы с зачатием",Цитрусовая,,Депрессия.,Мандарин|-
Мандарин,---,"Подавлен ""Внутренний ребенок"" иногда до анрессии. Конфликт: см. сочетания [2], [3]. См. сочетание [1]  ЕД: Депрессия",Процессы брожения в кишечнике. Сухая кожа. См. сочетание [4],Цитрусовая,"[1] В сочетании с Анисом, усиление, детская позиция. Мб в +++ или ---. Иногда Анис может попасть в 0. [2] Проверить где Береза, насколько подавлены/не подавлены эмоции. [3] Обратить внимание где Ваниль/Лаванда и Бензоин.",Депрессия.,Мандарин|---
Мандарин,0,Заблокированная инфантильность. ЕД: Депрессия,,Цитрусовая,,Депрессия.,Мандарин|0
Мандарин,R,"Подавлен ""Внутренний ребенок"" . Конфликт",,Цитрусовая,,,Мандарин|R
Грейпфрут,+++,Потребность в усвоении информации. Потребность в адекватном восприятии информации. *ЕД: Запрос на адекватную оценку происходящего.,"Нарушение работы ЖКТ. Ферментопатия. См. сочетания [1], [2], [3].",Цитрусовая,[1] В сочетании с Бензоином (+++/--- или 0): склонность к сахарному диабету. [2] В сочетании с Геранью +++: нарушение работы щитовидной железы. [3] Грейпфрут в сочетании с Литцеей +++/+: нарушена адаптация. Нарушение работы ЦНС. Головные боли.,Запрос на адекватную оценку происходящего.,Грейпфрут|+++
Грейпфрут,+,Не ярко выраженная потребность в усвоении информации. *ЕД: Запрос на адекватную оценку происходящего.,Ферментопатия. См. сочетания [3].,Цитрусовая,[3] Грейпфрут в сочетании с Литцеей +++/+: нарушена адаптация. Нарушение работы ЦНС. Головные боли.,Запрос на адекватную оценку происходящего.,Грейпфрут|+
Грейпфрут,N,Адекватное восприятие действительности *ЕД: Запрос на адекватную оценку происходящего.,Нормальная работа поджелудочной.,Цитрусовая,,Запрос на адекватную оценку происходящего.,Грейпфрут|N
Грейпфрут,-,Нежелание воспринимать действительность.,Хр. нарушения ЖКТ или ЭС. См. сочетание [1].,Цитрусовая,[1] В сочетании с Бензоином (+++/--- или 0): склонность к сахарному диабету.,Нежелание воспринимать действительность.,Грейпфрут|-
Грейпфрут,---,Нежелание воспринимать действительность. *ЕД: Нежелание воспринимать действительность.,Хр. нарушения ЖКТ или ЭС. См. сочетание [1].,Цитрусовая,[1] В сочетании с Бензоином (+++/--- или 0): склонность к сахарному диабету.,Нежелание воспринимать действительность.,Грейпфрут|---
Грейпфрут,0,Нежелание воспринимать действительность. *ЕД: Нежелание воспринимать действительность.,Возможно обострения хр. панкреатита.,Цитрусовая,,Нежелание воспринимать действительность.,Грейпфрут|0
Грейпфрут,R,,Нежелание воспринимать действительность.,Цитрусовая,,,Грейпфрут|R
Литцея Кубеба,+++,Эмоциональная перегрузка. *ЕД: Хроническое нарушение работы НС. См. сочетание [4].,"Острая потребность в адаптации. Мб головные боли. Нарушение работы НС. См. сочетания [1], [2], [3].",Цитрусовая,"[1] Литцея в сочетании с Апельсином: напряжение, нарушение адаптации. [2] Литцея Кубеба в сочетании с Лимоном: склонность к мигреням. [3] Грейпфрут и Литцея Кубеба в +++/+: нарушена адаптация. Нарушение работы ЦНС. Головные боли. [4] Литцея Кубеба в сочетании с Мятой и Эвкалиптом: последствия травмы ЦНС",Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|+++
Литцея Кубеба,+,Эмоциональная перегрузка.,Потребность в адаптации.,Цитрусовая,,Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|+
Литцея Кубеба,N,Адекватное восприятие действительности.,Высокий уровень адаптивных способностей.,Цитрусовая,,Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|N
Литцея Кубеба,-,Склонность к затядным депрессиям.,Хроническое нарушение работы НС. См. сочетание [4].,Цитрусовая,[4] Литцея Кубеба в сочетании с Мятой и Эвкалиптом: последствия травмы ЦНС,Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|-
Литцея Кубеба,---,Эмоциональная перегрузка. МБ склонность к зависимостям.,"Острая потребность в адаптации. Мб головные боли. Нарушение работы НС. См. сочетания [1], [2], [3], [4] .",Цитрусовая,"[1] Литцея в сочетании с Апельсином: напряжение, нарушение адаптации. [2] Литцея Кубеба в сочетании с Лимоном: склонность к мигреням. [3] Грейпфрут и Литцея Кубеба в +++/+: нарушена адаптация. Нарушение работы ЦНС. Головные боли. [4] Литцея Кубеба в сочетании с Мятой и Эвкалиптом: последствия травмы ЦНС",Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|---
Литцея Кубеба,0,Эмоциональная перегрузка. МБ склонность к зависимостям.,,Цитрусовая,,Хроническое нарушение работы НС. См. сочетание [4].,Литцея Кубеба|0
Литцея Кубеба,R,,Хроническое нарушение работы НС. См. сочитание [4].,Цитрусовая,[4] Литцея Кубеба в сочетании с Мятой и Эвкалиптом: последствия травмы ЦНС,,Литцея Кубеба|R
Кедр,+++,"Мужской аромат. Острая потребность в стабильности. У женщин запрос на ""сильное плечо"", ""прижался - и тучи все рассеялись"". Для мужчин - быть надежным, стабильным. См. сочетания [1], [2]. *ЕД: Острая потребность в поддержке (для Ж). Быть сильным (для М).",Нарушение лимфотока.,Хвойная,"[1] И для Ж и для М важна позиция, на которой стоит аромат: 1, 2 - здесь и сейчас, 3 - глубинный запрос. [2] Кедр в сочетании с Кипарисом: острая потребность в понимание и сильном плече",Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|+++
Кедр,+,"Важно, чтобы рядом был союзник ответственный и стабильный (для Ж). Важно чувствовать себя стабильным и востребованным. (для М)","Склонность к лимфозастою, возможно на фоне др. сочетаний.",Хвойная,,Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|+
Кедр,N,Стабильность / неактуальность этой задачи.,Норма функция,Хвойная,,Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|N
Кедр,-,"Для Ж — конфликт или отрицание / нежелание поддержки от М. Для М — нежелание брать на себя функцию ""сильного плеча"".","Хр застойные процессы. См. сочетания [3], [4].",Хвойная,[3] В сочетании с Можжевеловыми ягодами: хр. Нарушения МПС. [4] В сочетании с Кипарисом и/или Иланг-илангом: хр. Нарушения ССС,Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|-
Кедр,---,"Острая потребность в стабильности. У женщин запрос на ""сильное плечо"". Для мужчин — быть надежным, стабильным. ""Я ж мужик!"" Но есть проблема, которая не дает реализовать желаемое.",Нарушение лимфотока.,Хвойная,,Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|---
Кедр,0,Конфликт (возможно скрытый) со второй половиной.,,Хвойная,,Острая потребность в поддержке (для Ж). Быть сильным (для М).,Кедр|0
Кедр,R,Неуверенность в принятом решении (поиск решения).,,Хвойная,,,Кедр|R
Кипарис,+++,"Мужской аромат. Для Ж: Запрос на понимание, если стоит на 1,2 месте. На 3-ем - глубинный запрос на отношения с мужчиной типа кипарис. Для М: быть тонким и понимающим, заботливым (но про себя никогда не забыть!). См. сочетания [1], [2]. *ЕД: Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).","Мб острые сосудистые нарушения. См. сочетания [4], [6].",Хвойная,"[1] В сочетании с Елью, Кипарисом, Можжевеловыми ягодами: потребность в поддержке на фоне страхов. [2] В сочетании с Ладаном и/или Бензоином: непрожитая потеря близкого человека. [4] В сочетании с Лимоном в +++: купероз, нарушение работы печени. [5] В сочетании с Мятой, Иланг-илангом: хр. нарушения ССС. [6] В сочетании с Иланг-илангом в +++: нарушение сердечного ритма.","Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|+++
Кипарис,+,Потребность в понимании (для Ж) / понимать (для М).,Только как дополнения в сочетаниях.,Хвойная,,"Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|+
Кипарис,N,Стабильность / неважность этой задачи.,"Нормальная, в данный момент, работа ССС.",Хвойная,,"Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|N
Кипарис,-,Для Ж: неприемлемый тип отношений с мужчиной типа кипарис. Для М: непринятие роли мужчины-кипариса.,Хр. Венозный застой. См. сочетание [5].,Хвойная,"[4] В сочетании с Лимоном в +++: купероз, нарушение работы печени. [5] В сочетании с Мятой, Иланг-илангом: хр. нарушения ССС. [6] В сочетании с Иланг-илангом в +++: нарушение сердечного ритма.","Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|-
Кипарис,---,"Эмоциональная перегрузка. Запрос на понимание и заботу. (""Так хочу, чтоб меня поняли, что всех ненавижу!"").","Возможно острые сосудистые нарушения. См. сочетания [4], [6].",Хвойная,"[4] В сочетании с Лимоном в +++: купероз, нарушение работы печени. [6] В сочетании с Иланг-илангом в +++: нарушение сердечного ритма.","Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|---
Кипарис,0,"Заблокированные глубокие переживания. См. сочетания [2], [3].",,Хвойная,[2] В сочетании с Ладаном и/или Бензоином: непрожитая потеря близкого человека. [3] Если рядом (в одной группе) Ладан и/или Пихта: страх смерти.,"Важно, чтобы рядом был ответственный и стабильный союзник (для Ж). Важно чувствовать себя стабильным и востребованным (для М).",Кипарис|0
Кипарис,R,"Конфликт с мужчиной (типа Кипарис), этого типа (для Ж). Попытка разобраться в своих чувствах (для М).",,Хвойная,,,Кипарис|R
Ель,+++,"Есть внешние страхи. Социальная тревожность (внешние страхи), мб панические атаки. См. сочетание [1], [2] .","Нарушение ДС. Окислительный стресс. См. сочетания [3], [4], [5].",Хвойная,"[1] В сочетании с Кипарисом, Можжевеловыми ягодами: потребность в поддержке на фоне страхов. [2] В сочетании с Пихтой, Можжевеловыми ягодами в +++: человек не справляется со страхами, смотрим где Анис и Фенхель. [3] В сочетании с Каяпутом в +++/+: может быть обострение Дорсопатии. [4] В сочетании с цитрусовой группой в +++/+ (более 4х масел): окислительный стресс. [5] В сочетании с Чабрецом, Эвкалиптом, или Анисом в +++/+: остаточные явления после ОРВИ с нарушение ДС.",Панические атаки.,Ель|+++
Ель,+,Есть внешние страхи.,Остаточные явления после нарушений ДС.,Хвойная,,Панические атаки.,Ель|+
Ель,N,,Нет напряжения.,Хвойная,,Панические атаки.,Ель|N
Ель,-,,Хр. нарушения ОДС,Хвойная,,Панические атаки.,Ель|-
Ель,---,"Социальная тревожность (внешние страхи), возможно панические атаки. См. сочетание [1], [2].
",,Хвойная,"[1] В сочетании с Кипарисом, Можжевеловыми ягодами: потребность в поддержке на фоне страхов. [2] В сочетании с Пихтой, Можжевеловыми ягодами в +++: человек не справляется со страхами, смотрим где Анис и Фенхель.",Панические атаки.,Ель|---
Ель,0,Заблокированные страхи. Панические атаки.,,Хвойная,,,Ель|0
Ель,R,Панические атаки.,,Хвойная,,,Ель|R
Пихта,+++,"Тотальное перенапряжение, страхи. См. сочетания [1], [2], [3].",Мб ЛОР-нарушения.,Хвойная,"[1] Усиливает/нивелирует страхи. Смотрим где стоит Ель и Можжевеловые ягоды. Если в одной группе (+++/+ или ---/-), то усиление. Если в разных, неярко выраженные страхи. [2] Если рядом (в одной группе) Ладан и/или Кипарис: страх смерти. [3] Ель, Пихта, Можжевеловые ягоды в +++: человек не справляется со страхами.",Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|+++
Пихта,+,"Тотальное перенапряжение, страхи. См. сочетания [1], [2], [3]",Мб ЛОР-нарушения.,Хвойная,"[1] Усиливает/нивелирует страхи. Смотрим где стоит Ель и Можжевеловые ягоды. Если в одной группе (+++/+ или ---/-), то усиление. Если в разных, неярко выраженные страхи. [2] Если рядом (в одной группе) Ладан и/или Кипарис: страх смерти. [3] Ель, Пихта, Можжевеловые ягоды в +++: человек не справляется со страхами.",Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|+
Пихта,N,Нет перегрузок.,,Хвойная,,Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|N
Пихта,-,,Хр. ЛОР заболевания. Нейродермиты. См. сочетание [4].,Хвойная,[4] В сочетании с Геранью (в одной группе): ЛОР-нарушения.,Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|-
Пихта,---,"Тотальное перенапряжение, страхи. См. сочетания [1]. [2]",См. сочетание [5],Хвойная,"[1] Усиливает/нивелирует страхи. Смотрим где стоит Ель и Можжевеловые ягоды. Если в одной группе (+++/+ или ---/-), то усиление. Если в разных, неярко выраженные страхи. [2] Если рядом (в одной группе) Ладан и/или Кипарис: страх смерти. [5] В сочетании с Бензоином: нейродермиты.",Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|---
Пихта,0,Заблокированные тотальные переживания. См. сочетание [2]. ,Хронические ЛОР-заболевания. Нейродермиты. См. сочетание [4].,Хвойная,[2] Если рядом (в одной группе) Ладан и/или Кипарис: страх смерти. [4] В сочетании с Геранью (в одной группе): ЛОР-нарушения. [5] В сочетании с Бензоином: нейродермиты.,Ключевая проблема. Глубокие переживания. Возможно обострение Хр. заболеваний.,Пихта|0
Пихта,R,Глубокие переживания. Возможно обострение хр. заболеваний,,Хвойная,,,Пихта|R
Можжевеловые ягоды,+++,"Ярко выраженные внутренние страхи. См. сочетания [1], [2], [3].","Мб Отеки. Воспаление. См. сочетания [4], [5].",Хвойная,"[1] В сочетании с Пихтой: усиливаются/нивелируются внутренние страхи. [2] Важно учитывать положение в группе +++. На 1 или 2 месте: проявленные внутренние страхи, с чем связаны смотрим по аромату стоящему рядом (1 или 2 местом). 3 место: глубинный запрос и первые два будут инструментом для компенсации. [3] В сочетании с Елью, Пихтой, Можжевеловыми ягодами в +++: человек не справляется со страхами. [4] В сочетании с Полынью в +++: может быть эндокринные нарушения. [5] В сочетании с Кедром в +++/—: отеки. [6] В сочетании с Кедром в -: нарушения МПС",Ярко выраженные внутренние страхи.,Можжевеловые ягоды|+++
Можжевеловые ягоды,+,Тревожность,Застойные процессы в лимфе,Хвойная,,Ярко выраженные внутренние страхи.,Можжевеловые ягоды|+
Можжевеловые ягоды,N,Нет внутренних страхов.,Норма функция МПС.,Хвойная,,Ярко выраженные внутренние страхи.,Можжевеловые ягоды|N
Можжевеловые ягоды,-,Подавленная тревожность. ,Хр. нарушения МПС. Смотри сочетание [6].,Хвойная,[6] В сочетании с Кедром в -: нарушения МПС,Ярко выраженные внутренние страхи.,Можжевеловые ягоды|-
Можжевеловые ягоды,---,Ярко выраженные внутренние страхи. См. сочетание [1].,"Мб Отеки. Воспаление. См. сочетания [4],[5] .",Хвойная,[1] В сочетании с Пихтой: усиливаются/нивелируются внутренние страхи. [4] В сочетании с Полынью в +++: может быть эндокринные нарушения. [5] В сочетании с Кедром в +++/—: отеки. [6] В сочетании с Кедром в -: нарушения МПС,Ярко выраженные внутренние страхи.,Можжевеловые ягоды|---
Можжевеловые ягоды,0,Заблокированные (подавленные) внутренние страхи.,Хр. нарушения МПС. См сочетание  [6],Хвойная,[6] В сочетании с Кедром в -: нарушения МПС,Ярко выраженные внутренние страхи.,Можжевеловые ягоды|0
Можжевеловые ягоды,R,Ярко выраженные внутренние страхи.,,Хвойная,,,Можжевеловые ягоды|R
Анис,+++,"Фиксация на детских переживаниях. Неумение чувствовать границы. Возможно ""слёзный"" период. См. сочетания [1], [2], [3], [4], [5].","Тошнота. ОРВИ. Обострение хр. нарушений ДС. См. сочетания [6], [8], [9]",Пряная,"[1] Анис, Фенхель (+++/+): проявление тревожности. [2] Важно! +++ на каком месте стоит. 1 или 2 место: фиксация на детских переживаниях, а 3-ем месте: глубинные переживания из детства. Ищем причину в других комбинациях. [3] Анис, Фенхель и Ель/Пихта/Можжевельник: человека преследуют навязчивые страхи. [4] Анис/Фенхель в сочетании с Чабрецом: тотально снижена самооценка, человек занимается самокопанием. [5] В сочетании с Анисом и Чабрецом: зависимость/склонность к зависимости, часто у курильщиков. [6] В сочетании с Фенхелем в +++/+/---: высокое содержание слизи в кишечнике. [8] В сочетании с Анисом/Фенхелем/Чабрецом: ОРВИ. [9] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это Норма. [10] В сочетании с Фенхелем, Анисом, Ветивером, Чабрецом: дисбактериоз","Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|+++
Анис,+,"Волнение, переживания. Детские воспоминания, обиды. См. сочетания [3], [4].",Остаточные проявления нарушений ДС.,Пряная,"[3] Анис, Фенхель и Ель/Пихта/Можжевельник: человека преследуют навязчивые страхи. [4] Анис/Фенхель в сочетании с Чабрецом: тотально снижена самооценка, человек занимается самокопанием.","Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|+
Анис,N,Реализованный детский период,Норма функция,Пряная,,"Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|N
Анис,-,Подавленные волнения.,Застойные процессы ДС. См. сочетания [7] [10],Пряная,"[7] Усиливается Бензоином, Эвкалиптом в этой группе. [10] В сочетании с Фенхелем, Анисом, Ветивером, Чабрецом: дисбактериоз","Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|-
Анис,---,Подавленная тревожность. Подавленные детские страхи.,"Тошнота. ОРВИ. Обострение хр. нарушений ДС. См. сочетания [6], [8], [9]",Пряная,"[6] В сочетании с Фенхелем в +++/+/---: высокое содержание слизи в кишечнике. [8] В сочетании с Анисом/Фенхелем/Чабрецом: ОРВИ. [9] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это Норма.","Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|---
Анис,0,Глубокий конфликт или переживания связанный с детством.,,Пряная,,"Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|0
Анис,R,"Фиксация на детских переживаниях. Неумение чувствовать границы. Возможно ""слёзный"" период. См. сочетания [1], [2], [3], [4], [5].",,Пряная,"[1] Анис, Фенхель (+++/+): проявление тревожности. [2] Важно! +++ на каком месте стоит. 1 или 2 место: фиксация на детских переживаниях, а 3-ем месте: глубинные переживания из детства. Ищем причину в других комбинациях. [3] Анис, Фенхель и Ель/Пихта/Можжевельник: человека преследуют навязчивые страхи. [4] Анис/Фенхель в сочетании с Чабрецом: тотально снижена самооценка, человек занимается самокопанием. [5] В сочетании с Анисом и Чабрецом: зависимость/склонность к зависимости, часто у курильщиков.","Фиксация на детских переживаниях. Неумение чувствовать границы. Мб ""слезный"" период. См. сочетания [1], [2], [5].",Анис|R
Гвоздика,+++,"Яркие переживания, сильное перенапряжение, мб истерика. См. сочетание [1].",Нарушение микроциркуляции. ВСД. См. сочетание [3].,Пряная,[1] В сочетании с Мятой: эмоциональная зацикленность.[3] В сочетании с Мятой: нарушение мозгового кровообращения.,Сильное перенапряжение. Истерика,Гвоздика|+++
Гвоздика,+,"Волнение, переживания ",Обратить внимание на работу НС.,Пряная,,Сильное перенапряжение. Истерика,Гвоздика|+
Гвоздика,N,Умение управлять эмоциями. Внутренняя уверенность. *если это не единичное масло.,НС без перегрузок.,Пряная,,Сильное перенапряжение. Истерика,Гвоздика|N
Гвоздика,-,Сильное волнение.,Паразитарный процесс. См. сочетание [2].,Пряная,"[1] В сочетании с Мятой: эмоциональная зацикленность. [2] Паразитарная инвазия усиливается ароматами, в этом секторе: Полынь, Аир, Береза, Эвкалипт. ",Сильное перенапряжение. Истерика,Гвоздика|-
Гвоздика,---,"Яркие переживания, сильное перенапряжение, мб истерика. См. сочетание [1].",Паразитарный процесс. См. сочетание [2].,Пряная,"[1] В сочетании с Мятой: эмоциональная зацикленность. [2] Паразитарная инвазия усиливается ароматами, в этом секторе: Полынь, Аир, Береза, Эвкалипт. ",Сильное перенапряжение. Истерика,Гвоздика|---
Гвоздика,0,Заблокированная истерика.,,Пряная,,,Гвоздика|0
Гвоздика,R,Сильное перенапряжение. Истерика.,,Пряная,,,Гвоздика|R
Мята,+++,Умственное перенапряжение. Активная интеллектуальная деятельность. См. сочетание [1].,"Склонность к повышению давления. См. сочетания [2], [3], [4].",Пряная,"[1] Проверяем комбинацию ЛГР. [2] В сочетании с Лавандой/Иланг-илангом в (+/+++): склонность к повышенному АД. [3] В сочетании с Лавандой/Кипарисом в (+/ +++): может быть нарушение ритма, нарушение ССС. [4] Розмарин в +++: ВСД.",Нежелание встраиваться в осознание проблем.,Мята|+++
Мята,+,Активная интеллектуальная деятельность.,"Склонность к повышению давления. См. сочетания [2], [3], [4].",Пряная," [2] В сочетании с Лавандой/Иланг-илангом в (+/+++): склонность к повышенному АД. [3] В сочетании с Лавандой/Кипарисом в (+/ +++): может быть нарушение ритма, нарушение ССС. [4] Розмарин в +++: ВСД.",Нежелание встраиваться в осознание проблем.,Мята|+
Мята,N,Высокая способность контролировать эмоции.,Высокая способность контролировать НС.,Пряная,,Нежелание встраиваться в осознание проблем.,Мята|N
